units_sold_360,units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
316,239,Door Mirror Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2021,1275699,True,True,False,6
779,946,Cup Holder,1,False,BMW,Body,Interior Trim,2020,511562,True,True,True,2
1116,986,Fuel Injection Throttle Body Coolant Heater Flange,1,False,Land Rover,Fuel,Miscellaneous,2020,67334,True,True,True,11
92,29,Suspension Stabilizer Bar Bushing,2,True,Porsche,Suspension,Mountings & Bushings,2019,4967,False,True,True,1
84,85,Suspension Ball Joint,2,False,Volkswagen,Suspension,Ball Joints,2018,5519,True,False,False,8
55,41,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2018,20401,True,True,False,15
573,864,Power Brake Booster Seal,1,True,Volkswagen,Brakes,Hardware,2019,3685402,True,True,True,2
9,6,Trunk Lid Lift Support,2,True,Jaguar,Body,Lift Struts,2018,9073,False,True,False,5
29,37,HVAC Blower Motor,1,False,Saab,Climate Control,Motors & Servos,2018,41881,True,False,False,10
156,325,Bumper Bracket,2,True,Porsche,Body,Bumpers & Moldings,2017,9583,False,True,True,0
197,382,Engine Mount,2,False,Mercedes-Benz,Engine,Mountings & Bushings,2017,8450,True,True,True,18
57,46,Engine Coolant Level Sensor,1,False,Dodge,Electrical,Sensors & Senders,2019,61496,False,True,False,5
13143,7730,Engine Oil Separator Cover,1,False,Mercedes-Benz,Fuel,Emissions,2019,1159151,True,True,True,5
54,61,Headlight Assembly,1,False,Volvo,Electrical,Headlamps,2019,27070,True,True,False,10
61,39,Window Regulator,1,False,Volkswagen,Body,Regulators,2018,300398,True,False,True,7
60,26,Door Seal,1,False,MG,Body,Gaskets & Seals,2018,33913,False,False,False,5
389,227,Brake Light Switch,1,False,Porsche,Electrical,"Relays, Switches, Solenoids",2019,22811,True,True,True,4
556,455,Engine Cooling Fan Switch,1,False,BMW,Electrical,"Relays, Switches, Solenoids",2018,26955,True,True,False,11
26,61,Suspension Control Arm and Ball Joint Assembly,1,False,Pontiac,Suspension,Control Arms,2021,446742,True,False,False,2
103,167,Engine Cooling Fan Clutch,1,False,Mercedes-Benz,Cooling,Clutches,2018,76613,True,True,True,11
2255,599,Fuel Tank Sending Unit Gasket,2,True,Audi,Fuel,Gaskets & Seals,2017,1399163,True,True,True,0
36,39,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2021,3266,False,True,True,19
496,447,Automatic Transmission Filter,1,False,Mercedes-Benz,Transmission,Filters,2020,1603860,True,True,False,14
261,230,Door Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2020,5205,True,True,False,21
300,226,Door Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2020,26516,True,True,True,21
31,94,Engine Oil Line,1,False,Volkswagen,Engine,"Turbo, Parts & Controls",2019,131024,True,True,False,4
80,65,Engine Oil Dipstick,1,True,Porsche,Engine,Miscellaneous,2019,10293,False,True,True,2
16,16,Bumper Impact Strip,1,False,Mercedes-Benz,Body,Bumpers & Moldings,2016,3395,False,False,False,17
594,415,Headlight Door Bezel,1,True,Mercedes-Benz,Electrical,Headlamps,2019,33617,True,True,True,3
631,237,Door Mirror Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2017,1006551,True,True,False,2
307,322,Engine Camshaft Position Sensor,2,False,Mercury,Engine,Sensors & Senders,2021,20458,False,True,False,6
45,44,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2017,7642,True,True,False,18
13,20,Engine Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2019,59479,False,True,False,12
80,33,Engine Cooling Fan Clutch,1,False,Mercedes-Benz,Cooling,Clutches,2017,25997,True,True,False,3
395,150,Headlight Lens,1,True,BMW,Electrical,Headlamps,2018,124476,True,True,True,2
261,278,Suspension Control Arm and Ball Joint Assembly,2,False,Audi,Suspension,Control Arms,2020,243499,True,True,False,9
290,70,Suspension Control Arm,1,False,BMW,Suspension,Control Arms,2016,566986,True,True,False,4
