units_sold,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
210,1999-01-27 20:00:00.000,1,False,Jaguar,Transmission,2016,10976,18,True,True,False
947,2009-01-14 08:00:00.000,1,False,Land Rover,Cooling,2016,56277,8,True,True,True
38,2016-07-18 23:28:37.983,1,False,BMW,Body,2016,87906,1,True,False,False
253,2002-11-29 20:00:00.000,1,False,Volvo,Cooling,2016,5904,15,True,True,True
23,2019-12-20 23:10:00.840,1,False,Chrysler,Climate Control,2019,1970972,1,True,True,False
23,2019-12-20 23:10:00.840,1,False,Dodge,Climate Control,2019,1970972,1,True,True,False
246,2009-06-09 07:00:00.000,1,False,Volvo,Electrical,2016,224385,8,True,True,False
156,1999-01-07 20:00:00.000,1,False,Mercedes-Benz,Body,2016,7235,18,True,True,True
167,2008-07-29 19:00:00.000,1,False,Mercedes-Benz,Electrical,2016,402132,9,True,True,False
9,2018-08-16 00:29:32.287,2,False,Audi,Suspension,2018,93473,1,False,False,False
9,2018-08-16 00:29:32.287,2,False,Volkswagen,Suspension,2018,93473,1,False,False,False
5812,2009-03-18 15:21:59.000,1,False,BMW,Cooling,2016,899735,8,True,True,True
79,2009-03-03 20:00:00.000,1,False,Jaguar,Body,2016,0,8,False,False,False
4,2019-08-07 20:33:43.470,1,False,Audi,Suspension,2019,1180174,1,False,False,False
4,2019-08-07 20:33:43.470,1,False,Volkswagen,Suspension,2019,1180174,1,False,False,False
22,2013-06-10 19:00:00.000,1,False,BMW,Steering,2016,480171,4,False,True,False
30,2020-04-20 21:07:15.980,2,True,Volvo,Body,2020,51444,1,True,False,False
33,2019-08-28 17:40:19.407,1,True,Jaguar,Steering,2019,32675,1,True,True,True
2,2019-12-26 23:48:47.987,1,True,Saab,Body,2019,8298,1,False,False,False
27,2005-05-05 19:00:00.000,1,False,Triumph,Cooling,2016,195,12,False,False,False
307,2009-08-26 19:00:00.000,2,False,Porsche,Brakes,2016,21285,8,True,False,False
728,2020-01-30 00:07:17.490,1,True,Dodge,Fuel,2020,128144,1,True,True,True
728,2020-01-30 00:07:17.490,1,True,Mini,Fuel,2020,128144,1,True,True,True
140,2014-06-20 22:55:21.647,1,False,BMW,Climate Control,2016,46999,3,True,True,False
36,2020-04-21 22:24:31.650,2,True,Mercedes-Benz,Body,2020,211764,1,False,False,False
31,2002-07-26 07:00:00.000,1,False,Mercedes-Benz,Climate Control,2016,9659,15,True,True,False
82,2008-08-27 19:00:00.000,1,False,Volvo,Steering,2016,41859,9,False,True,False
2,1999-01-04 20:00:00.000,1,False,Mercedes-Benz,Accessories,2016,3375,18,False,False,False
413,1999-02-10 20:00:00.000,1,False,BMW,Body,2016,2910,18,True,True,True
22,2019-04-11 01:21:34.520,1,False,Audi,Cooling,2019,22292,1,True,True,False
29,2009-08-28 19:00:00.000,2,False,Porsche,Brakes,2016,5455,8,True,False,False
57,2017-09-22 16:32:34.000,1,True,BMW,Engine,2017,30728,1,True,True,True
110,2019-05-14 02:15:01.757,2,True,Porsche,Body,2019,13033,1,True,False,True
24,2011-09-20 07:00:00.000,1,False,Mercedes-Benz,Body,2016,8595,6,True,False,False
31,2009-10-30 19:00:00.000,1,False,Triumph,Cooling,2016,0,8,False,False,False
2,2015-11-20 22:24:44.000,2,False,Volkswagen,Suspension,2016,3176,2,False,False,False
26158,2010-10-11 07:00:00.000,1,False,Audi,Cooling,2016,4825683,7,True,True,False
26158,2010-10-11 07:00:00.000,1,False,Volkswagen,Cooling,2016,4825683,7,True,True,False
498,2008-07-09 07:00:00.000,2,False,Mercedes-Benz,Suspension,2016,124726,9,True,True,False
138,2010-01-28 20:00:00.000,1,False,Volkswagen,Transmission,2016,26107,7,True,True,True
1085,2011-03-11 20:00:00.000,1,False,BMW,Brakes,2016,98705,6,False,True,False
