units_sold,id,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
26,16~126655,2006-01-31 20:00:00.000,1,False,Mercedes-Benz,Cooling,2017,16681,12,True,True,False
41,16~126655,2006-01-31 20:00:00.000,1,False,Mercedes-Benz,Cooling,2016,16681,11,True,True,False
10,49~143491,2006-01-30 20:00:00.000,1,False,Jaguar,Accessories,2020,53383,15,False,False,False
6,49~143491,2006-01-30 20:00:00.000,1,False,Jaguar,Accessories,2019,53383,14,False,False,False
23,49~143491,2006-01-30 20:00:00.000,1,False,Jaguar,Accessories,2018,53383,13,False,False,False
16,49~143491,2006-01-30 20:00:00.000,1,False,Jaguar,Accessories,2017,53383,12,False,False,False
11,49~143491,2006-01-30 20:00:00.000,1,False,Jaguar,Accessories,2016,53383,11,False,False,False
139,85~138091,2006-01-27 20:00:00.000,1,False,Volvo,Electrical,2020,40872,15,True,True,True
158,85~138091,2006-01-27 20:00:00.000,1,False,Volvo,Electrical,2019,40872,14,True,True,True
206,85~138091,2006-01-27 20:00:00.000,1,False,Volvo,Electrical,2018,40872,13,True,True,True
300,85~138091,2006-01-27 20:00:00.000,1,False,Volvo,Electrical,2017,40872,12,True,True,True
312,85~138091,2006-01-27 20:00:00.000,1,False,Volvo,Electrical,2016,40872,11,True,True,True
667,16~136720,2006-01-23 20:00:00.000,1,False,Porsche,Cooling,2020,24279,15,True,True,True
537,16~136720,2006-01-23 20:00:00.000,1,False,Porsche,Cooling,2019,24279,14,True,True,True
755,16~136720,2006-01-23 20:00:00.000,1,False,Porsche,Cooling,2018,24279,13,True,True,True
613,16~136720,2006-01-23 20:00:00.000,1,False,Porsche,Cooling,2017,24279,12,True,True,True
734,16~136720,2006-01-23 20:00:00.000,1,False,Porsche,Cooling,2016,24279,11,True,True,True
1,66~144016,2006-01-23 20:00:00.000,1,False,Land Rover,Body,2018,22130,13,False,False,False
6,66~144016,2006-01-23 20:00:00.000,1,False,Land Rover,Body,2017,22130,12,False,False,False
4,66~144016,2006-01-23 20:00:00.000,1,False,Land Rover,Body,2016,22130,11,False,False,False
2,66~141127,2006-01-23 20:00:00.000,1,False,Land Rover,Accessories,2020,22130,15,False,False,False
1,66~141127,2006-01-23 20:00:00.000,1,False,Land Rover,Accessories,2019,22130,14,False,False,False
7,66~141127,2006-01-23 20:00:00.000,1,False,Land Rover,Accessories,2017,22130,12,False,False,False
2,66~141127,2006-01-23 20:00:00.000,1,False,Land Rover,Accessories,2016,22130,11,False,False,False
17,16~134503,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2020,10371,15,True,True,False
5,16~134503,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2019,10371,14,True,True,False
9,16~134503,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2018,10371,13,True,True,False
52,16~134503,2006-01-19 20:00:00.000,1,False,BMW,Cooling,2017,10371,12,True,True,False
