VendorPartNo,Make,vehicleMaxQty,Category,IsDevelopment,Worldpac,PartsAuthority,SSF,WorldPac(2016),PartsAuthority(2016),SSF(2016),Total Units Sold(2016),WorldPac(2017),PartsAuthority(2017),SSF(2017),Total Units Sold(2017),WorldPac(2018),PartsAuthority(2018),SSF(2018),Total Units Sold(2018),WorldPac(2019),PartsAuthority(2019),SSF(2019),Total Units Sold(2019),WorldPac(2020),PartsAuthority(2020),SSF(2020),Total Units Sold(2020),UnitsSold360,VIO_US,VIO_CANADA,FirstSoldDate
A022081,Land Rover,2,Body,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,165610,14967,09/10/20
A022082,Land Rover,2,Body,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,90463,7345,09/10/20
KF-08403,BMW,2,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,298794,17531,09/09/20
SF-005E-3,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,22,677007,123777,09/09/20
SF-005D-2,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,20,954956,159791,09/09/20
G011818,Porsche,1,Drivetrain & Hub,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,4795,314,09/08/20
K031913,Porsche,1,Transmission,Yes,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,16632,419,09/08/20
301405,BMW,1,Suspension,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,278394,65382,09/08/20
SF-004U-1,Audi,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,182127,22546,09/08/20
G091727,Mercedes-Benz,1,Engine,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33138,1414,09/08/20
180402,Saab,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,501951,0,09/08/20
SF-04AG-1,Audi,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,15,111396,16352,09/08/20
KF-08550,Honda,1,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,563321,0,09/08/20
180503,Lincoln,2,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,146369,0,09/08/20
180502,Lincoln,2,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,3794873,0,09/08/20
KF-08185,Volkswagen,1,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,2384445,387748,09/08/20
KF-08184,Volkswagen,1,Brakes,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2384445,387748,09/08/20
EG90918,Volvo,1,Engine,Yes,Yes,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,25,169,26824,2287,09/08/20
A165,Pontiac,1,Cooling,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,68,394341,0,09/08/20
BN-1060,Audi,1,Engine,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,569,36,09/08/20
BN-1023,Volkswagen,1,Engine,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,9,22239,1916,09/08/20
SF-009F-2,Scion,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11753167,0,09/04/20
