"timestamp","source","level","message"
"2019-08-29T15:10:03.327Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status: [processing]"
"2019-08-29T15:10:03.338Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status response \n{""id"":""5d67eac9ef2fd6000f55aca4"",""name"":""demoJob3"",""created_at"":""2019-08-29T15:10:01Z"",""status"":""processing"",""timespan"":{""from"":""2019-08-29T11:57:32Z"",""to"":""2019-08-29T14:00:00Z""},""_links"":{""self"":{""href"":""https://api.talkdeskapp.com/reports/calls/jobs/5d67eac9ef2fd6000f55aca4""},""files"":{""href"":""https://api.talkdeskapp.com/reports/calls/files/5d67eac9ef2fd6000f55aca4""}}}"
"2019-08-29T15:10:01.019Z","EC2AMAZ-ROE9IQD","6","Calls metadata : f02ff772-d3fa-48a9-8d6d-e6c5ab9d5b7b"
"2019-08-29T15:10:34.738Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: report generated successfully"
"2019-08-29T15:10:35.219Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total data: [171]"
"2019-08-29T15:10:35.219Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: chunk size: [35]"
"2019-08-29T15:10:34.054Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T11:10:01.756Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: report job status:202"
"2019-08-29T11:10:01.876Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T11:10:01.877Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status response \n{""id"":""5d67b289aabd01000c0fbebf"",""name"":""demoJob3"",""created_at"":""2019-08-29T11:10:01Z"",""status"":""processing"",""timespan"":{""from"":""2019-08-29T07:49:51Z"",""to"":""2019-08-29T10:00:00Z""},""_links"":{""self"":{""href"":""https://api.talkdeskapp.com/reports/calls/jobs/5d67b289aabd01000c0fbebf""},""files"":{""href"":""https://api.talkdeskapp.com/reports/calls/files/5d67b289aabd01000c0fbebf""}}}"
"2019-08-29T11:10:01.877Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: waiting for report to generate sleep time [30]"
"2019-08-29T11:10:01.016Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: started execution"
"2019-08-29T11:10:34.183Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: in missing values"
"2019-08-29T11:10:32.456Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T11:10:32.456Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job Data-->"
"2019-08-29T11:10:33.260Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: generating dataframe"
"2019-08-29T11:10:01.756Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job id: [5d67b289aabd01000c0fbebf]"
"2019-08-29T11:10:01.877Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status: [processing]"
"2019-08-29T11:10:34.181Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total map_url: [1]"
"2019-08-29T11:10:32.896Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: report generated successfully"
"2019-08-29T11:10:33.271Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: fetched [2] items"
"2019-08-29T11:10:33.272Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total data: [2]"
"2019-08-29T11:12:34.211Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: [2] records to be inserted"
"2019-08-29T11:12:34.335Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: requests Completed Successfully"
"2019-08-29T12:10:33.381Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total data: [5]"
"2019-08-29T12:10:33.369Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Proceed to delete the job"
"2019-08-29T12:10:33.559Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Deleted Successfully"
"2019-08-29T12:10:32.525Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T12:10:33.025Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: report generated successfully"
"2019-08-29T15:13:27.786Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: requests Completed Successfully"
"2019-08-29T18:10:03.175Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status response \n{""id"":""5d6814f965080f000b8fe627"",""name"":""demoJob3"",""created_at"":""2019-08-29T18:10:01Z"",""status"":""processing"",""timespan"":{""from"":""2019-08-29T15:59:54Z"",""to"":""2019-08-29T17:00:00Z""},""_links"":{""self"":{""href"":""https://api.talkdeskapp.com/reports/calls/jobs/5d6814f965080f000b8fe627""},""files"":{""href"":""https://api.talkdeskapp.com/reports/calls/files/5d6814f965080f000b8fe627""}}}"
"2019-08-29T18:10:03.175Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: waiting for report to generate sleep time [30]"
"2019-08-29T18:10:02.588Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: report job status:202"
"2019-08-29T18:10:34.667Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T18:10:37.490Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Proceed to delete the job"
"2019-08-29T18:10:37.513Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: fetched [237] items"
"2019-08-29T18:10:37.514Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total data: [237]"
"2019-08-29T18:10:01.011Z","EC2AMAZ-ROE9IQD","6","Calls metadata : 83bff6b6-cd63-4947-9f79-169e5421969a"
"2019-08-29T18:10:01.152Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: DATE: [2019-08-29T15:59:54] to [2019-08-29T17:00:00.151439]"
"2019-08-29T18:10:02.589Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job id: [5d6814f965080f000b8fe627]"
"2019-08-29T18:12:54.356Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: [237] records to be inserted"
"2019-08-29T18:10:54.311Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: missing values found: [0]"
"2019-08-29T12:10:32.526Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job Data-->"
"2019-08-29T12:10:33.369Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: generating dataframe"
"2019-08-29T12:10:33.382Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total threads: [5]"
"2019-08-29T12:10:01.806Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Job Created.."
"2019-08-29T16:10:02.801Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status: [processing]"
"2019-08-29T16:10:33.620Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T16:10:34.917Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Proceed to delete the job"
"2019-08-29T16:10:34.937Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: <--initiating concurrent requests-->"
"2019-08-29T16:10:34.938Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total data: [181]"
"2019-08-29T17:10:34.203Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total threads: [5]"
"2019-08-29T17:10:34.369Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Deleted Successfully"
"2019-08-29T17:10:01.977Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job id: [5d6806e9970f5c0012fbd16a]"
"2019-08-29T16:10:02.800Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T16:10:02.802Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: waiting for report to generate sleep time [30]"
"2019-08-29T17:10:02.162Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T17:10:02.163Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status response \n{""id"":""5d6806e9970f5c0012fbd16a"",""name"":""demoJob3"",""created_at"":""2019-08-29T17:10:01Z"",""status"":""processing"",""timespan"":{""from"":""2019-08-29T14:59:57Z"",""to"":""2019-08-29T16:00:00Z""},""_links"":{""self"":{""href"":""https://api.talkdeskapp.com/reports/calls/jobs/5d6806e9970f5c0012fbd16a""},""files"":{""href"":""https://api.talkdeskapp.com/reports/calls/files/5d6806e9970f5c0012fbd16a""}}}"
"2019-08-29T16:10:33.621Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job Data-->"
"2019-08-29T16:10:34.409Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: report generated successfully"
"2019-08-29T16:10:34.937Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: fetched [181] items"
"2019-08-29T16:10:34.938Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: chunk size: [37]"
"2019-08-29T16:10:48.326Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total map_url: [143]"
"2019-08-29T16:10:48.335Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: missing values found: [0]"
"2019-08-29T15:10:34.055Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job Data-->"
"2019-08-29T15:10:34.737Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job status code [200]"
"2019-08-29T15:10:35.218Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: fetched [171] items"
"2019-08-29T15:10:35.218Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: <--initiating concurrent requests-->"
"2019-08-29T17:13:29.606Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: requests Completed Successfully"
"2019-08-29T18:10:01.012Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: started execution"
"2019-08-29T18:10:37.490Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: generating dataframe"
"2019-08-29T18:10:37.513Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: <--initiating concurrent requests-->"
"2019-08-29T18:10:37.514Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: chunk size: [48]"
"2019-08-29T18:10:37.514Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total threads: [5]"
"2019-08-29T18:10:36.009Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: report generated successfully"
"2019-08-29T18:10:34.668Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job Data-->"
"2019-08-29T18:10:03.174Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T18:10:03.175Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status: [processing]"
"2019-08-29T18:13:38.991Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: requests Completed Successfully"
"2019-08-29T17:10:02.163Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: waiting for report to generate sleep time [30]"
"2019-08-29T17:12:48.330Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: [225] records to be inserted"
"2019-08-29T17:10:34.202Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: chunk size: [45]"
"2019-08-29T17:10:32.892Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job Data-->"
"2019-08-29T17:10:48.261Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total map_url: [166]"
"2019-08-29T17:10:48.272Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: in missing values"
"2019-08-29T16:10:34.408Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job status code [200]"
"2019-08-29T16:10:34.918Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: generating dataframe"
"2019-08-29T18:10:54.300Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total map_url: [190]"
"2019-08-29T18:10:54.308Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: in missing values"
"2019-08-29T15:10:01.020Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: started execution"
"2019-08-29T15:10:01.133Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: DATE: [2019-08-29T11:57:32] to [2019-08-29T14:00:00.132617]"
"2019-08-29T16:10:01.136Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: DATE: [2019-08-29T13:59:34] to [2019-08-29T15:00:00.136352]"
"2019-08-29T16:10:02.801Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status response \n{""id"":""5d67f8d9ef2fd6000f55acca"",""name"":""demoJob3"",""created_at"":""2019-08-29T16:10:01Z"",""status"":""processing"",""timespan"":{""from"":""2019-08-29T13:59:34Z"",""to"":""2019-08-29T15:00:00Z""},""_links"":{""self"":{""href"":""https://api.talkdeskapp.com/reports/calls/jobs/5d67f8d9ef2fd6000f55acca""},""files"":{""href"":""https://api.talkdeskapp.com/reports/calls/files/5d67f8d9ef2fd6000f55acca""}}}"
"2019-08-29T16:10:01.791Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Job Created.."
"2019-08-29T17:10:02.163Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status: [processing]"
"2019-08-29T17:10:01.016Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: started execution"
"2019-08-29T17:10:34.201Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: fetched [225] items"
"2019-08-29T17:10:33.668Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job status code [200]"
"2019-08-29T15:10:49.973Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total map_url: [117]"
"2019-08-29T15:10:49.982Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: missing values found: [0]"
"2019-08-29T15:12:50.021Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: [171] records to be inserted"
"2019-08-29T15:10:35.200Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Proceed to delete the job"
"2019-08-29T15:10:35.220Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total threads: [5]"
"2019-08-29T19:10:01.193Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: DATE: [2019-08-29T16:59:40] to [2019-08-29T18:00:00.193047]"
"2019-08-29T19:10:03.174Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job id: [5d68230aaabd01000c0fbfef]"
