units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,no_of_days,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
26,Turn Signal Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2016,26736,365,True,True,True,6
4895,Engine Coolant Temperature Sensor O-Ring,1,False,BMW,Climate Control,Gaskets & Seals,2017,1634322,365,True,True,False,4
32,Suspension Control Arm,1,False,Chevrolet,Suspension,Control Arms,2018,126041,365,False,True,False,8
11,Ignition Coil,1,False,Saab,Electrical,Ignition System,2018,539546,232,False,True,False,0
373,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2016,132353,365,False,False,False,8
1500,Engine Crankcase Vent Valve,1,False,Audi,Fuel,Emissions,2020,143912,365,True,True,True,8
143,Auxiliary Engine Cooling Fan Assembly,1,False,Volkswagen,Cooling,Fans,2019,137715,365,False,True,False,5
71,Turn Signal Light Lens,1,False,Volvo,Electrical,Turn Indicator Lamps,2016,29391,365,True,True,False,7
151,Brake Pedal Position Sensor,1,False,Volvo,Electrical,Sensors & Senders,2017,568456,365,True,True,False,1
33,Suspension Control Arm Bushing Kit,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2017,115889,365,False,True,False,10
479,PCV Valve Hose Nipple,1,False,Saab,Fuel,Emissions,2017,32155,365,True,True,False,3
248,Brake Master Cylinder,1,False,MG,Brakes,Hydraulic Cylinders,2019,21393,365,True,True,False,11
16,Engine Coolant Bleed Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2017,14124,365,True,True,True,9
91,Parking Brake Switch,1,True,Porsche,Brakes,"Relays, Switches, Solenoids",2017,64007,332,True,False,True,0
145,Sunroof Seal,1,False,BMW,Body,Gaskets & Seals,2020,369793,365,True,True,True,5
85,Door Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2020,67284,365,True,True,True,6
18,Engine Water Pump,1,False,Mercedes-Benz,Cooling,Water Pumps,2020,27771,365,True,False,False,6
1,Fuel Tank,1,False,Pontiac,Fuel,Fuel Supply,2019,51744,365,False,False,False,1
69,Turbocharger Oil Line,1,False,Volkswagen,Engine,"Turbo, Parts & Controls",2019,227021,365,True,True,True,5
86,Turn Signal Light Lens,1,False,Porsche,Electrical,Turn Indicator Lamps,2017,6691,365,True,True,True,1
