sales_range,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
[26 - 50],2020-12-30 20:03:45.697,1,False,Mercedes-Benz,Fuel,2021,275272,2,False,False,True
[1 - 25],2020-12-30 20:03:45.697,1,False,Mercedes-Benz,Fuel,2020,275272,1,False,False,True
[1 - 25],2020-12-22 23:34:19.763,1,False,Toyota,Electrical,2021,7619885,2,True,False,False
[1 - 25],2020-12-22 23:34:19.763,1,False,Toyota,Electrical,2020,7619885,1,True,False,False
[1 - 25],2020-12-21 22:45:33.197,1,False,Toyota,Brakes,2021,307359,2,False,False,False
[1 - 25],2020-12-21 22:45:33.197,1,False,Toyota,Brakes,2020,307359,1,False,False,False
[1 - 25],2020-12-21 22:45:32.567,1,False,Subaru,Climate Control,2021,351012,2,False,False,False
[1 - 25],2020-12-21 22:45:32.567,1,False,Subaru,Climate Control,2020,351012,1,False,False,False
[1 - 25],2020-12-21 22:45:32.217,4,False,Nissan,Electrical,2021,740677,2,True,False,False
[1 - 25],2020-12-21 22:45:32.217,4,False,Nissan,Electrical,2020,740677,1,True,False,False
[1 - 25],2020-12-21 22:45:31.927,1,False,Nissan,Climate Control,2021,226231,2,False,False,False
[1 - 25],2020-12-21 22:45:31.927,1,False,Nissan,Climate Control,2020,226231,1,False,False,False
[1 - 25],2020-12-21 22:45:27.957,1,False,Ford,Engine,2021,366423,2,False,False,False
[1 - 25],2020-12-21 22:45:27.957,1,False,Ford,Engine,2020,366423,1,False,False,False
[1 - 25],2020-12-21 22:45:27.297,2,False,Ford,Brakes,2021,854820,2,True,False,False
[1 - 25],2020-12-21 22:45:27.297,2,False,Ford,Brakes,2020,854820,1,True,False,False
[1 - 25],2020-12-21 22:45:27.297,2,False,Mazda,Brakes,2021,854820,2,True,False,False
[1 - 25],2020-12-21 22:45:27.297,2,False,Mazda,Brakes,2020,854820,1,True,False,False
[1 - 25],2020-12-21 22:45:27.297,2,False,Mercury,Brakes,2021,854820,2,True,False,False
[1 - 25],2020-12-21 22:45:27.297,2,False,Mercury,Brakes,2020,854820,1,True,False,False
[1 - 25],2020-12-21 22:45:26.840,1,False,Ford,Engine,2021,1238504,2,False,False,False
[1 - 25],2020-12-21 22:45:26.840,1,False,Ford,Engine,2020,1238504,1,False,False,False
[1 - 25],2020-12-21 22:45:26.840,1,False,Mercury,Engine,2021,1238504,2,False,False,False
[1 - 25],2020-12-21 22:45:26.840,1,False,Mercury,Engine,2020,1238504,1,False,False,False
[1 - 25],2020-12-21 22:45:25.850,2,False,Dodge,Brakes,2021,315922,2,False,False,False
[1 - 25],2020-12-21 22:45:25.850,2,False,Dodge,Brakes,2020,315922,1,False,False,False
[1 - 25],2020-12-21 16:19:52.733,1,False,Chevrolet,Engine,2021,744000,2,False,False,False
[1 - 25],2020-12-21 16:19:52.733,1,False,Chevrolet,Engine,2020,744000,1,False,False,False
[1 - 25],2020-12-21 16:19:52.733,1,False,Pontiac,Engine,2021,744000,2,False,False,False
[1 - 25],2020-12-21 16:19:52.733,1,False,Pontiac,Engine,2020,744000,1,False,False,False
[1 - 25],2020-12-21 16:19:52.733,1,False,Saturn,Engine,2021,744000,2,False,False,False
[1 - 25],2020-12-21 16:19:52.733,1,False,Saturn,Engine,2020,744000,1,False,False,False
[1 - 25],2020-12-19 00:27:35.757,1,False,Volkswagen,Suspension,2021,723863,2,True,False,False
[1 - 25],2020-12-19 00:27:35.757,1,False,Volkswagen,Suspension,2020,723863,1,True,False,False
[1 - 25],2020-12-19 00:27:35.720,1,False,Volkswagen,Suspension,2021,723863,2,True,False,False
[1 - 25],2020-12-19 00:27:35.720,1,False,Volkswagen,Suspension,2020,723863,1,True,False,False
[1 - 25],2020-12-17 17:47:40.520,2,False,Porsche,Brakes,2021,23709,2,False,False,False
[1 - 25],2020-12-17 17:47:40.520,2,False,Porsche,Brakes,2020,23709,1,False,False,False
[1 - 25],2020-12-17 17:47:40.373,1,False,Freightliner,Transmission,2021,3351958,2,False,False,False
[1 - 25],2020-12-17 17:47:40.373,1,False,Freightliner,Transmission,2020,3351958,1,False,False,False
[1 - 25],2020-12-17 17:47:40.373,1,False,Mercedes-Benz,Transmission,2021,3351958,2,False,False,False
[1 - 25],2020-12-17 17:47:40.373,1,False,Mercedes-Benz,Transmission,2020,3351958,1,False,False,False
[1 - 25],2020-12-15 23:45:17.950,1,True,BMW,Body,2021,4402,2,False,False,False
[1 - 25],2020-12-15 23:45:17.950,1,True,BMW,Body,2020,4402,1,False,False,False
[1 - 25],2020-12-15 23:45:16.933,1,True,BMW,Body,2021,4402,2,False,False,False
[1 - 25],2020-12-15 23:45:16.933,1,True,BMW,Body,2020,4402,1,False,False,False
[1 - 25],2020-12-15 22:06:24.783,1,True,Porsche,Engine,2020,2060,1,True,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Chevrolet,Cooling,2021,118703,2,False,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Chevrolet,Cooling,2020,118703,1,False,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Pontiac,Cooling,2021,118703,2,False,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Pontiac,Cooling,2020,118703,1,False,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Saturn,Cooling,2021,118703,2,False,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Saturn,Cooling,2020,118703,1,False,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Suzuki,Cooling,2021,118703,2,False,False,False
[1 - 25],2020-12-15 01:18:25.450,1,False,Suzuki,Cooling,2020,118703,1,False,False,False
[1 - 25],2020-12-15 01:18:24.290,1,False,Dodge,Electrical,2021,264333,2,True,False,False
[1 - 25],2020-12-15 01:18:24.290,1,False,Dodge,Electrical,2020,264333,1,True,False,False
[1 - 25],2020-12-15 01:18:24.290,1,False,Mercedes-Benz,Electrical,2021,264333,2,True,False,False
[1 - 25],2020-12-15 01:18:24.290,1,False,Mercedes-Benz,Electrical,2020,264333,1,True,False,False
[1 - 25],2020-12-15 00:58:15.587,1,False,Mercedes-Benz,Engine,2021,871680,2,True,False,True
[1 - 25],2020-12-15 00:58:15.587,1,False,Mercedes-Benz,Engine,2020,871680,1,True,False,True
